date,open,high,low,close,volume,symbol
2021-10-15,65.9,66.27,65.29,65.49,11786145.0,MU
2021-10-18,64.82,65.44,64.1,65.07,11849258.0,MU
2021-10-19,65.18,65.7,64.45,65.38,16930284.0,MU
2021-10-20,65.01,67.01,64.82,66.08,19457791.0,MU
2021-10-21,65.76,66.51,65.48,66.45,11140699.0,MU
2021-10-22,66.32,66.9,64.89,65.32,17892148.0,MU
2021-10-25,67.43,68.93,66.35,66.57,23341333.0,MU
2021-10-26,67.18,67.63,66.28,66.75,14267900.0,MU
2021-10-27,66.33,66.5,65.26,66.05,13541853.0,MU
2021-10-28,67.1,68.16,66.99,67.39,16966036.0,MU
2021-10-29,66.2,67.36,65.85,66.91,11440853.0,MU
2021-11-01,66.78,68.78,66.75,68.51,11988416.0,MU
2021-11-02,68.3,68.66,67.85,68.57,9761144.0,MU
2021-11-03,68.53,69.14,68.07,69.06,10266900.0,MU
2021-11-04,70.18,70.29,68.85,70.05,15936561.0,MU
2021-11-05,70.81,71.55,70.17,70.73,13019283.0,MU
2021-11-08,71.13,72.84,70.93,72.37,18742302.0,MU
2021-11-09,72.91,74.08,72.37,73.4,20127255.0,MU
2021-11-10,71.97,72.96,71.01,71.22,15228340.0,MU
2021-11-11,71.83,72.77,71.43,72.36,12192644.0,MU
2021-11-12,72.83,75.83,72.76,75.11,26553201.0,MU
2021-11-15,75.57,76.09,74.41,74.59,12650712.0,MU
2021-11-16,74.37,74.96,73.59,74.62,11807642.0,MU
2021-11-17,74.29,74.38,73.0,73.27,11600537.0,MU
2021-11-18,74.71,75.31,73.56,74.83,16848232.0,MU
2021-11-19,76.74,81.67,76.74,80.84,47216140.0,MU
2021-11-22,81.47,85.48,81.47,81.67,34775207.0,MU
2021-11-23,82.85,85.52,82.14,83.22,31823330.0,MU
2021-11-24,82.56,84.97,82.42,84.02,21666066.0,MU
2021-11-26,80.94,81.86,79.79,81.23,16487233.0,MU
2021-11-29,82.19,84.08,81.97,83.95,18889820.0,MU
2021-11-30,83.39,84.73,81.76,81.81,27301042.0,MU
2021-12-01,84.36,86.86,82.81,82.96,31653636.0,MU
2021-12-02,80.44,81.4,79.16,80.69,22994496.0,MU
2021-12-03,81.52,82.24,78.45,79.43,19167224.0,MU
2021-12-06,79.64,81.04,78.34,80.26,15094888.0,MU
2021-12-07,82.23,84.85,82.14,83.64,21716939.0,MU
2021-12-08,83.25,84.15,81.84,83.83,12908466.0,MU
2021-12-09,83.11,84.35,82.44,82.74,11964259.0,MU
2021-12-10,82.15,83.49,81.94,83.35,11955861.0,MU
2021-12-13,84.42,85.19,82.01,82.16,13054432.0,MU
2021-12-14,81.03,82.58,80.72,81.1,12082484.0,MU
2021-12-15,81.29,83.6,79.87,83.47,13971453.0,MU
2021-12-16,83.69,84.13,79.94,80.5,16503228.0,MU
2021-12-17,79.43,81.1,78.75,80.81,23251154.0,MU
2021-12-20,79.95,81.06,78.72,79.84,22346807.0,MU
2021-12-21,86.8,88.95,85.16,88.49,58363551.0,MU
2021-12-22,87.81,88.29,86.73,88.15,18593895.0,MU
2021-12-23,88.51,92.81,88.16,92.23,36400104.0,MU
2021-12-27,91.53,92.74,90.54,92.24,17117704.0,MU
2021-12-28,91.56,91.7,89.87,90.75,13683846.0,MU
2021-12-29,91.81,94.56,91.72,93.98,32234608.0,MU
2021-12-30,92.21,93.32,91.24,91.7,19327840.0,MU
2021-12-31,91.91,92.33,90.94,91.06,13660556.0,MU
2022-01-03,91.82,93.74,91.39,93.66,18719697.0,MU
2022-01-04,93.51,94.5,91.45,94.25,19725020.0,MU
2022-01-05,93.29,96.36,92.26,92.31,28613129.0,MU
2022-01-06,93.01,94.62,92.03,93.56,22320264.0,MU
2022-01-07,94.0,95.1,91.85,92.36,14857859.0,MU
2022-01-10,92.17,93.58,88.95,91.8,20289997.0,MU
2022-01-11,90.37,92.18,89.56,92.11,14924886.0,MU
2022-01-12,93.07,94.14,91.69,93.02,13339184.0,MU
2022-01-13,94.41,96.02,93.21,93.53,23679830.0,MU
2022-01-14,92.35,95.34,92.33,95.27,18384993.0,MU
2022-01-18,93.44,93.86,90.45,90.78,19920161.0,MU
2022-01-19,91.63,92.69,87.68,87.91,19043766.0,MU
2022-01-20,88.19,88.24,82.84,82.98,24701342.0,MU
2022-01-21,82.13,83.05,79.43,79.84,29716319.0,MU
2022-01-24,78.18,80.95,75.55,80.86,29769629.0,MU
2022-01-25,78.83,80.33,77.56,78.63,22128380.0,MU
2022-01-26,81.16,82.7,78.52,79.88,21018662.0,MU
2022-01-27,81.42,81.6,76.3,76.63,22693965.0,MU
2022-01-28,75.28,77.19,73.43,77.18,24434646.0,MU
2022-01-31,76.87,80.22,75.93,80.18,21898195.0,MU
2022-02-01,80.11,80.3,78.33,79.36,15237402.0,MU
2022-02-02,80.83,82.61,80.45,82.42,19862826.0,MU
2022-02-03,80.58,83.09,79.62,79.88,19598165.0,MU
2022-02-04,79.13,80.1,77.75,79.08,15657509.0,MU
2022-02-07,79.27,79.95,78.39,78.78,11799784.0,MU
2022-02-08,79.06,82.31,78.91,82.03,18315742.0,MU
2022-02-09,82.51,86.69,81.47,86.03,22386914.0,MU
2022-02-10,87.1,92.55,86.39,88.93,33820696.0,MU
2022-02-11,89.19,92.49,86.86,87.67,30999980.0,MU
2022-02-14,89.9,91.08,86.62,87.77,23499096.0,MU
2022-02-15,88.92,94.41,88.92,93.91,27083529.0,MU
2022-02-16,92.35,94.4,91.48,93.97,15573596.0,MU
2022-02-17,92.95,93.91,91.4,91.64,17943285.0,MU
2022-02-18,92.44,92.59,86.81,88.71,19530513.0,MU
2022-02-22,87.75,91.88,86.58,88.48,24825717.0,MU
2022-02-23,89.38,89.78,84.98,85.22,19135407.0,MU
2022-02-24,82.04,86.85,81.7,86.74,24472315.0,MU
2022-02-25,85.87,88.39,85.19,88.01,15008658.0,MU
2022-02-28,86.36,87.66,85.07,86.77,17269788.0,MU
2022-03-01,86.47,87.75,82.57,84.17,20794836.0,MU
2022-03-02,85.08,91.98,84.94,91.21,28398700.0,MU
2022-03-03,89.53,90.1,86.3,87.09,22099752.0,MU
2022-03-04,85.33,85.33,78.43,79.82,28221728.0,MU
2022-03-07,79.67,80.88,73.54,73.61,26715511.0,MU
2022-03-08,74.16,78.16,71.84,75.07,28343183.0,MU
2022-03-09,77.88,78.4,75.45,77.35,19647851.0,MU
2022-03-10,75.64,75.64,71.72,73.63,21691955.0,MU
2022-03-11,74.57,74.61,70.55,70.73,22786509.0,MU
2022-03-14,69.66,70.39,66.87,67.31,24893444.0,MU
2022-03-15,67.96,71.44,66.25,71.02,22850964.0,MU
2022-03-16,74.38,77.62,74.06,77.58,35742765.0,MU
2022-03-17,76.11,78.49,75.11,78.43,21612244.0,MU
2022-03-18,77.01,79.11,75.97,77.32,28601158.0,MU
2022-03-21,76.9,77.8,73.44,76.26,30878163.0,MU
2022-03-22,75.61,77.64,75.42,77.03,16768042.0,MU
2022-03-23,75.77,76.13,72.99,73.56,28059803.0,MU
2022-03-24,73.81,76.44,73.23,76.12,23348049.0,MU
2022-03-25,76.18,76.21,73.04,76.01,22491043.0,MU
2022-03-28,76.5,78.09,75.18,77.77,26605277.0,MU
2022-03-29,80.01,80.46,77.17,79.96,41290740.0,MU
2022-03-30,82.21,84.15,76.51,77.07,70087027.0,MU
2022-03-31,75.58,77.87,74.74,75.8,34588634.0,MU
2022-04-01,76.34,76.82,71.97,74.09,33536055.0,MU
2022-04-04,74.81,76.09,74.42,75.58,24320306.0,MU
2022-04-05,74.62,75.93,72.21,72.52,21171421.0,MU
2022-04-06,71.08,72.8,69.38,71.69,28080116.0,MU
2022-04-07,71.58,72.59,70.04,71.19,22658636.0,MU
2022-04-08,70.51,70.86,68.84,70.15,20562565.0,MU
2022-04-11,68.56,70.92,68.1,70.04,21127921.0,MU
2022-04-12,70.8,71.6,69.58,69.97,18658506.0,MU
2022-04-13,70.37,71.76,69.87,70.39,18891991.0,MU
2022-04-14,70.57,70.82,68.1,68.14,18543538.0,MU
2022-04-18,68.26,70.11,68.06,69.16,17476740.0,MU
2022-04-19,68.97,71.42,68.78,70.74,15138970.0,MU
2022-04-20,71.82,74.24,70.9,71.21,19042573.0,MU
2022-04-21,71.98,72.5,68.66,68.93,17645347.0,MU
2022-04-22,68.65,68.99,67.32,67.42,18682432.0,MU
2022-04-25,66.43,68.18,65.94,68.13,20072116.0,MU
2022-04-26,66.7,67.17,65.05,65.09,18628694.0,MU
