date,open,high,low,close,volume,symbol
2022-10-11,34.17,35.87,33.57,34.37,5766279.0,WDC
2022-10-12,34.29,34.37,32.82,33.83,7523791.0,WDC
2022-10-13,32.76,35.34,32.33,34.65,5870819.0,WDC
2022-10-14,34.91,34.97,33.2,33.27,3071449.0,WDC
2022-10-17,34.11,34.37,32.85,33.44,3827671.0,WDC
2022-10-18,34.5,34.69,32.72,33.16,3605086.0,WDC
2022-10-19,32.76,33.56,32.62,32.91,3879381.0,WDC
2022-10-20,33.15,33.91,32.57,33.02,4074385.0,WDC
2022-10-21,32.87,34.44,32.64,34.41,6230786.0,WDC
2022-10-24,34.31,34.79,33.61,34.47,4565527.0,WDC
2022-10-25,34.49,35.06,34.33,34.84,5727775.0,WDC
2022-10-26,34.05,35.79,33.71,34.83,7738238.0,WDC
2022-10-27,36.44,36.6,33.63,33.89,6786517.0,WDC
2022-10-28,33.8,35.36,33.73,35.05,4829125.0,WDC
2022-10-31,34.82,34.87,33.44,33.92,4432265.0,WDC
2022-11-01,34.61,35.47,34.47,35.25,8759337.0,WDC
2022-11-02,35.09,35.56,34.09,34.13,4148604.0,WDC
2022-11-03,33.62,33.81,32.58,33.26,3210602.0,WDC
2022-11-04,34.28,35.1,34.03,34.99,3496736.0,WDC
2022-11-07,35.32,36.21,34.73,36.17,3875843.0,WDC
2022-11-08,36.44,36.61,35.4,36.07,2588924.0,WDC
2022-11-09,35.28,35.44,33.82,33.9,5229601.0,WDC
2022-11-10,35.6,37.35,35.21,37.3,4485406.0,WDC
2022-11-11,37.55,39.54,37.41,39.3,3921584.0,WDC
2022-11-14,38.94,39.88,38.5,39.15,3584446.0,WDC
2022-11-15,40.11,40.52,38.76,39.01,3533510.0,WDC
2022-11-16,38.26,38.27,35.64,35.97,6852923.0,WDC
2022-11-17,35.08,36.11,34.76,36.08,4428809.0,WDC
2022-11-18,36.69,37.01,35.76,36.41,2239446.0,WDC
2022-11-21,35.88,35.92,35.03,35.5,3390419.0,WDC
2022-11-22,35.54,36.24,35.41,35.78,2804045.0,WDC
2022-11-23,35.58,36.66,35.57,36.55,3251693.0,WDC
2022-11-25,36.18,37.02,36.11,36.89,1221389.0,WDC
2022-11-28,36.31,36.41,35.45,35.66,2700872.0,WDC
2022-11-29,36.0,36.09,35.26,35.58,1990090.0,WDC
2022-11-30,34.97,36.42,34.01,36.3,6609054.0,WDC
2022-12-01,36.16,37.0,35.25,35.39,6129023.0,WDC
2022-12-02,34.66,35.16,34.28,35.0,4372246.0,WDC
2022-12-05,34.86,35.23,34.13,34.34,3046389.0,WDC
2022-12-06,34.26,34.37,33.11,33.44,5627043.0,WDC
2022-12-07,33.09,33.74,32.57,33.69,3882133.0,WDC
2022-12-08,34.03,34.93,33.9,34.78,9037610.0,WDC
2022-12-09,34.76,35.92,34.5,35.26,5379487.0,WDC
2022-12-12,35.08,35.84,34.89,35.76,4056186.0,WDC
2022-12-13,37.2,37.6,35.43,35.85,5905589.0,WDC
2022-12-14,35.72,36.32,35.13,35.38,3861097.0,WDC
